,Age Group,Sex,Avg hrs per day sleeping,Rank
0,15 years and over,Both,8.57,29.0
1,15 years and over,Both,8.55,31.0
2,15 years and over,Both,8.62,26.0
3,15 years and over,Both,8.63,25.0
4,15 years and over,Both,8.57,29.0
5,15 years and over,Both,8.6,27.0
6,15 years and over,Both,8.67,23.0
7,15 years and over,Both,8.67,23.0
8,15 years and over,Both,8.71,22.0
9,15 years and over,Both,8.73,21.0
10,15 years and over,Both,8.74,20.0
11,15 years and over,Both,8.8,17.0
12,15 years and over,Both,8.83,16.0
13,15 years and over,Both,8.79,19.0
14,15 years and over,Both,8.8,17.0
15,15 years and over,Both,8.26,44.0
16,15 years and over,Both,8.25,45.0
17,15 years and over,Both,8.35,40.0
18,15 years and over,Both,8.33,41.0
19,15 years and over,Both,8.29,43.0
20,15 years and over,Both,8.3,42.0
21,15 years and over,Both,8.39,38.0
22,15 years and over,Both,8.38,39.0
23,15 years and over,Both,8.45,36.0
24,15 years and over,Both,8.45,36.0
25,15 years and over,Both,8.48,35.0
26,15 years and over,Both,8.54,32.0
27,15 years and over,Both,8.59,28.0
28,15 years and over,Both,8.5,34.0
29,15 years and over,Both,8.53,33.0
30,15 years and over,Both,9.29,12.0
31,15 years and over,Both,9.25,14.0
32,15 years and over,Both,9.28,13.0
33,15 years and over,Both,9.32,10.0
34,15 years and over,Both,9.24,15.0
35,15 years and over,Both,9.31,11.0
36,15 years and over,Both,9.33,9.0
37,15 years and over,Both,9.34,7.0
38,15 years and over,Both,9.35,6.0
39,15 years and over,Both,9.39,5.0
40,15 years and over,Both,9.34,7.0
41,15 years and over,Both,9.4,3.0
42,15 years and over,Both,9.4,3.0
43,15 years and over,Both,9.48,1.0
44,15 years and over,Both,9.44,2.0
45,15 to 24 years,Both,9.15,33.0
46,15 to 24 years,Both,9.23,29.0
47,15 to 24 years,Both,9.27,27.0
48,15 to 24 years,Both,9.19,31.0
49,15 to 24 years,Both,9.11,35.0
50,15 to 24 years,Both,9.2,30.0
51,15 to 24 years,Both,9.45,20.0
52,15 to 24 years,Both,9.24,28.0
53,15 to 24 years,Both,9.32,25.0
54,15 to 24 years,Both,9.34,23.0
55,15 to 24 years,Both,9.34,23.0
56,15 to 24 years,Both,9.53,19.0
57,15 to 24 years,Both,9.58,17.0
58,15 to 24 years,Both,9.55,18.0
59,15 to 24 years,Both,9.72,16.0
60,15 to 24 years,Both,8.75,44.0
61,15 to 24 years,Both,8.79,43.0
62,15 to 24 years,Both,9.01,36.0
63,15 to 24 years,Both,8.84,41.0
64,15 to 24 years,Both,8.71,45.0
65,15 to 24 years,Both,8.83,42.0
66,15 to 24 years,Both,9.19,31.0
67,15 to 24 years,Both,8.94,40.0
68,15 to 24 years,Both,8.99,38.0
69,15 to 24 years,Both,8.95,39.0
70,15 to 24 years,Both,9.0,37.0
71,15 to 24 years,Both,9.31,26.0
72,15 to 24 years,Both,9.39,21.0
73,15 to 24 years,Both,9.12,34.0
74,15 to 24 years,Both,9.38,22.0
75,15 to 24 years,Both,10.1,7.0
76,15 to 24 years,Both,10.28,3.0
77,15 to 24 years,Both,9.89,15.0
78,15 to 24 years,Both,10.03,11.0
79,15 to 24 years,Both,10.0,13.0
80,15 to 24 years,Both,10.04,9.0
81,15 to 24 years,Both,10.04,9.0
82,15 to 24 years,Both,9.96,14.0
83,15 to 24 years,Both,10.13,6.0
84,15 to 24 years,Both,10.25,4.0
85,15 to 24 years,Both,10.16,5.0
86,15 to 24 years,Both,10.06,8.0
87,15 to 24 years,Both,10.02,12.0
88,15 to 24 years,Both,10.58,1.0
89,15 to 24 years,Both,10.48,2.0
90,25 to 34 years,Both,8.52,30.0
91,25 to 34 years,Both,8.46,31.0
92,25 to 34 years,Both,8.65,21.0
93,25 to 34 years,Both,8.58,25.0
94,25 to 34 years,Both,8.57,27.0
95,25 to 34 years,Both,8.54,28.0
96,25 to 34 years,Both,8.54,28.0
97,25 to 34 years,Both,8.58,25.0
98,25 to 34 years,Both,8.6,24.0
99,25 to 34 years,Both,8.76,18.0
100,25 to 34 years,Both,8.65,21.0
101,25 to 34 years,Both,8.77,17.0
102,25 to 34 years,Both,8.87,16.0
103,25 to 34 years,Both,8.71,20.0
104,25 to 34 years,Both,8.76,18.0
105,25 to 34 years,Both,8.18,42.0
106,25 to 34 years,Both,8.08,45.0
107,25 to 34 years,Both,8.24,39.0
108,25 to 34 years,Both,8.19,41.0
109,25 to 34 years,Both,8.22,40.0
110,25 to 34 years,Both,8.16,44.0
111,25 to 34 years,Both,8.18,42.0
112,25 to 34 years,Both,8.25,38.0
113,25 to 34 years,Both,8.26,37.0
114,25 to 34 years,Both,8.45,32.0
115,25 to 34 years,Both,8.34,36.0
116,25 to 34 years,Both,8.44,33.0
117,25 to 34 years,Both,8.63,23.0
118,25 to 34 years,Both,8.36,35.0
119,25 to 34 years,Both,8.41,34.0
120,25 to 34 years,Both,9.34,15.0
121,25 to 34 years,Both,9.37,13.0
122,25 to 34 years,Both,9.6,1.0
123,25 to 34 years,Both,9.47,6.0
124,25 to 34 years,Both,9.4,10.0
125,25 to 34 years,Both,9.45,7.0
126,25 to 34 years,Both,9.43,8.0
127,25 to 34 years,Both,9.4,10.0
128,25 to 34 years,Both,9.39,12.0
129,25 to 34 years,Both,9.49,5.0
130,25 to 34 years,Both,9.37,13.0
131,25 to 34 years,Both,9.52,4.0
132,25 to 34 years,Both,9.43,8.0
133,25 to 34 years,Both,9.55,3.0
134,25 to 34 years,Both,9.56,2.0
135,35 to 44 years,Both,8.34,30.0
136,35 to 44 years,Both,8.25,31.0
137,35 to 44 years,Both,8.37,27.0
138,35 to 44 years,Both,8.39,25.0
139,35 to 44 years,Both,8.35,29.0
140,35 to 44 years,Both,8.38,26.0
141,35 to 44 years,Both,8.41,23.0
142,35 to 44 years,Both,8.4,24.0
143,35 to 44 years,Both,8.43,21.0
144,35 to 44 years,Both,8.52,18.0
145,35 to 44 years,Both,8.52,18.0
146,35 to 44 years,Both,8.42,22.0
147,35 to 44 years,Both,8.67,16.0
148,35 to 44 years,Both,8.5,20.0
149,35 to 44 years,Both,8.57,17.0
150,35 to 44 years,Both,8.0,44.0
151,35 to 44 years,Both,7.95,45.0
152,35 to 44 years,Both,8.02,42.0
153,35 to 44 years,Both,8.05,38.0
154,35 to 44 years,Both,8.03,41.0
155,35 to 44 years,Both,8.04,40.0
156,35 to 44 years,Both,8.09,36.0
157,35 to 44 years,Both,8.05,38.0
158,35 to 44 years,Both,8.08,37.0
159,35 to 44 years,Both,8.19,33.0
160,35 to 44 years,Both,8.18,34.0
161,35 to 44 years,Both,8.02,42.0
162,35 to 44 years,Both,8.36,28.0
163,35 to 44 years,Both,8.14,35.0
164,35 to 44 years,Both,8.23,32.0
165,35 to 44 years,Both,9.16,12.0
166,35 to 44 years,Both,8.99,15.0
167,35 to 44 years,Both,9.21,9.0
168,35 to 44 years,Both,9.16,12.0
169,35 to 44 years,Both,9.12,14.0
170,35 to 44 years,Both,9.17,10.0
171,35 to 44 years,Both,9.17,10.0
172,35 to 44 years,Both,9.23,8.0
173,35 to 44 years,Both,9.25,7.0
174,35 to 44 years,Both,9.28,6.0
175,35 to 44 years,Both,9.32,5.0
176,35 to 44 years,Both,9.33,4.0
177,35 to 44 years,Both,9.41,1.0
178,35 to 44 years,Both,9.34,3.0
179,35 to 44 years,Both,9.37,2.0
180,45 to 54 years,Both,8.17,32.0
181,45 to 54 years,Both,8.17,32.0
182,45 to 54 years,Both,8.2,31.0
183,45 to 54 years,Both,8.3,23.0
184,45 to 54 years,Both,8.24,27.0
185,45 to 54 years,Both,8.27,25.0
186,45 to 54 years,Both,8.29,24.0
187,45 to 54 years,Both,8.26,26.0
188,45 to 54 years,Both,8.37,21.0
189,45 to 54 years,Both,8.42,20.0
190,45 to 54 years,Both,8.51,17.0
191,45 to 54 years,Both,8.57,16.0
192,45 to 54 years,Both,8.36,22.0
193,45 to 54 years,Both,8.45,19.0
194,45 to 54 years,Both,8.5,18.0
195,45 to 54 years,Both,7.85,45.0
196,45 to 54 years,Both,7.86,44.0
197,45 to 54 years,Both,7.89,42.0
198,45 to 54 years,Both,7.92,41.0
199,45 to 54 years,Both,7.95,38.0
200,45 to 54 years,Both,7.94,40.0
201,45 to 54 years,Both,7.95,38.0
202,45 to 54 years,Both,7.89,42.0
203,45 to 54 years,Both,8.1,35.0
204,45 to 54 years,Both,8.07,36.0
205,45 to 54 years,Both,8.22,29.0
206,45 to 54 years,Both,8.23,28.0
207,45 to 54 years,Both,7.97,37.0
208,45 to 54 years,Both,8.13,34.0
209,45 to 54 years,Both,8.22,29.0
210,45 to 54 years,Both,8.93,13.0
211,45 to 54 years,Both,8.9,15.0
212,45 to 54 years,Both,8.95,12.0
213,45 to 54 years,Both,9.18,5.0
214,45 to 54 years,Both,8.92,14.0
215,45 to 54 years,Both,9.05,10.0
216,45 to 54 years,Both,9.06,9.0
217,45 to 54 years,Both,9.12,8.0
218,45 to 54 years,Both,9.02,11.0
219,45 to 54 years,Both,9.22,3.0
220,45 to 54 years,Both,9.17,6.0
221,45 to 54 years,Both,9.37,1.0
222,45 to 54 years,Both,9.32,2.0
223,45 to 54 years,Both,9.2,4.0
224,45 to 54 years,Both,9.15,7.0
225,55 to 64 years,Both,8.36,26.0
226,55 to 64 years,Both,8.3,29.0
227,55 to 64 years,Both,8.28,30.0
228,55 to 64 years,Both,8.4,25.0
229,55 to 64 years,Both,8.26,32.0
230,55 to 64 years,Both,8.26,32.0
231,55 to 64 years,Both,8.43,22.0
232,55 to 64 years,Both,8.5,18.0
233,55 to 64 years,Both,8.47,20.0
234,55 to 64 years,Both,8.47,20.0
235,55 to 64 years,Both,8.49,19.0
236,55 to 64 years,Both,8.43,22.0
237,55 to 64 years,Both,8.51,17.0
238,55 to 64 years,Both,8.53,16.0
239,55 to 64 years,Both,8.41,24.0
240,55 to 64 years,Both,8.12,41.0
241,55 to 64 years,Both,8.1,42.0
242,55 to 64 years,Both,8.07,43.0
243,55 to 64 years,Both,8.16,39.0
244,55 to 64 years,Both,8.06,44.0
245,55 to 64 years,Both,8.0,45.0
246,55 to 64 years,Both,8.17,38.0
247,55 to 64 years,Both,8.26,32.0
248,55 to 64 years,Both,8.24,36.0
249,55 to 64 years,Both,8.25,35.0
250,55 to 64 years,Both,8.32,27.0
251,55 to 64 years,Both,8.21,37.0
252,55 to 64 years,Both,8.31,28.0
253,55 to 64 years,Both,8.28,30.0
254,55 to 64 years,Both,8.15,40.0
255,55 to 64 years,Both,8.92,10.0
256,55 to 64 years,Both,8.78,13.0
257,55 to 64 years,Both,8.77,14.0
258,55 to 64 years,Both,8.96,9.0
259,55 to 64 years,Both,8.73,15.0
260,55 to 64 years,Both,8.89,11.0
261,55 to 64 years,Both,9.06,3.0
262,55 to 64 years,Both,9.08,2.0
263,55 to 64 years,Both,9.02,4.0
264,55 to 64 years,Both,8.98,6.0
265,55 to 64 years,Both,8.88,12.0
266,55 to 64 years,Both,8.97,8.0
267,55 to 64 years,Both,8.98,6.0
268,55 to 64 years,Both,9.12,1.0
269,55 to 64 years,Both,9.02,4.0
270,65 years and over,Both,8.86,33.0
271,65 years and over,Both,8.86,33.0
272,65 years and over,Both,8.96,21.0
273,65 years and over,Both,8.91,26.0
274,65 years and over,Both,8.91,26.0
275,65 years and over,Both,8.94,24.0
276,65 years and over,Both,8.91,26.0
277,65 years and over,Both,9.02,16.0
278,65 years and over,Both,9.08,12.0
279,65 years and over,Both,8.84,37.0
280,65 years and over,Both,8.87,30.0
281,65 years and over,Both,9.0,18.0
282,65 years and over,Both,8.97,20.0
283,65 years and over,Both,8.94,24.0
284,65 years and over,Both,8.84,37.0
285,65 years and over,Both,8.74,44.0
286,65 years and over,Both,8.77,41.0
287,65 years and over,Both,8.88,29.0
288,65 years and over,Both,8.87,30.0
289,65 years and over,Both,8.81,39.0
290,65 years and over,Both,8.86,33.0
291,65 years and over,Both,8.78,40.0
292,65 years and over,Both,8.95,22.0
293,65 years and over,Both,8.99,19.0
294,65 years and over,Both,8.74,44.0
295,65 years and over,Both,8.76,42.0
296,65 years and over,Both,8.95,22.0
297,65 years and over,Both,8.86,33.0
298,65 years and over,Both,8.87,30.0
299,65 years and over,Both,8.75,43.0
300,65 years and over,Both,9.15,6.0
301,65 years and over,Both,9.06,14.0
302,65 years and over,Both,9.15,6.0
303,65 years and over,Both,9.02,16.0
304,65 years and over,Both,9.16,5.0
305,65 years and over,Both,9.14,8.0
306,65 years and over,Both,9.2,3.0
307,65 years and over,Both,9.2,3.0
308,65 years and over,Both,9.27,1.0
309,65 years and over,Both,9.08,12.0
310,65 years and over,Both,9.12,9.0
311,65 years and over,Both,9.12,9.0
312,65 years and over,Both,9.23,2.0
313,65 years and over,Both,9.11,11.0
314,65 years and over,Both,9.03,15.0
315,15 years and over,Men,8.48,30.0
316,15 years and over,Men,8.48,30.0
317,15 years and over,Men,8.53,27.0
318,15 years and over,Men,8.56,24.0
319,15 years and over,Men,8.52,28.0
320,15 years and over,Men,8.56,24.0
321,15 years and over,Men,8.62,21.0
322,15 years and over,Men,8.56,24.0
323,15 years and over,Men,8.62,21.0
324,15 years and over,Men,8.6,23.0
325,15 years and over,Men,8.65,20.0
326,15 years and over,Men,8.69,18.0
327,15 years and over,Men,8.77,16.0
328,15 years and over,Men,8.69,18.0
329,15 years and over,Men,8.7,17.0
330,15 years and over,Men,8.16,44.0
331,15 years and over,Men,8.16,44.0
332,15 years and over,Men,8.25,42.0
333,15 years and over,Men,8.26,41.0
334,15 years and over,Men,8.2,43.0
335,15 years and over,Men,8.27,39.0
336,15 years and over,Men,8.31,37.0
337,15 years and over,Men,8.27,39.0
338,15 years and over,Men,8.33,36.0
339,15 years and over,Men,8.28,38.0
340,15 years and over,Men,8.38,34.0
341,15 years and over,Men,8.44,32.0
342,15 years and over,Men,8.52,28.0
343,15 years and over,Men,8.36,35.0
344,15 years and over,Men,8.4,33.0
345,15 years and over,Men,9.22,14.0
346,15 years and over,Men,9.23,13.0
347,15 years and over,Men,9.22,14.0
348,15 years and over,Men,9.28,8.0
349,15 years and over,Men,9.24,12.0
350,15 years and over,Men,9.25,11.0
351,15 years and over,Men,9.33,4.0
352,15 years and over,Men,9.28,8.0
353,15 years and over,Men,9.31,6.0
354,15 years and over,Men,9.33,4.0
355,15 years and over,Men,9.3,7.0
356,15 years and over,Men,9.26,10.0
357,15 years and over,Men,9.34,3.0
358,15 years and over,Men,9.47,1.0
359,15 years and over,Men,9.38,2.0
360,15 to 24 years,Men,9.14,32.0
361,15 to 24 years,Men,9.12,34.0
362,15 to 24 years,Men,9.2,30.0
363,15 to 24 years,Men,9.21,28.0
364,15 to 24 years,Men,9.03,35.0
365,15 to 24 years,Men,9.27,26.0
366,15 to 24 years,Men,9.56,18.0
367,15 to 24 years,Men,9.21,28.0
368,15 to 24 years,Men,9.33,23.0
369,15 to 24 years,Men,9.16,31.0
370,15 to 24 years,Men,9.3,25.0
371,15 to 24 years,Men,9.47,20.0
372,15 to 24 years,Men,9.51,19.0
373,15 to 24 years,Men,9.59,17.0
374,15 to 24 years,Men,9.78,16.0
375,15 to 24 years,Men,8.73,42.0
376,15 to 24 years,Men,8.65,44.0
377,15 to 24 years,Men,8.88,40.0
378,15 to 24 years,Men,8.93,37.0
379,15 to 24 years,Men,8.58,45.0
380,15 to 24 years,Men,8.9,39.0
381,15 to 24 years,Men,9.25,27.0
382,15 to 24 years,Men,8.88,40.0
383,15 to 24 years,Men,9.01,36.0
384,15 to 24 years,Men,8.68,43.0
385,15 to 24 years,Men,8.93,37.0
386,15 to 24 years,Men,9.33,23.0
387,15 to 24 years,Men,9.35,22.0
388,15 to 24 years,Men,9.14,32.0
389,15 to 24 years,Men,9.46,21.0
390,15 to 24 years,Men,10.13,7.0
391,15 to 24 years,Men,10.25,4.0
392,15 to 24 years,Men,9.96,12.0
393,15 to 24 years,Men,9.88,14.0
394,15 to 24 years,Men,9.99,10.0
395,15 to 24 years,Men,10.13,7.0
396,15 to 24 years,Men,10.31,3.0
397,15 to 24 years,Men,9.99,10.0
398,15 to 24 years,Men,10.11,9.0
399,15 to 24 years,Men,10.24,5.0
400,15 to 24 years,Men,10.18,6.0
401,15 to 24 years,Men,9.8,15.0
402,15 to 24 years,Men,9.9,13.0
403,15 to 24 years,Men,10.65,1.0
404,15 to 24 years,Men,10.46,2.0
405,25 to 34 years,Men,8.3,31.0
406,25 to 34 years,Men,8.42,27.0
407,25 to 34 years,Men,8.44,26.0
408,25 to 34 years,Men,8.4,28.0
409,25 to 34 years,Men,8.45,24.0
410,25 to 34 years,Men,8.48,21.0
411,25 to 34 years,Men,8.48,21.0
412,25 to 34 years,Men,8.28,32.0
413,25 to 34 years,Men,8.37,29.0
414,25 to 34 years,Men,8.55,18.0
415,25 to 34 years,Men,8.45,24.0
416,25 to 34 years,Men,8.62,17.0
417,25 to 34 years,Men,8.79,16.0
418,25 to 34 years,Men,8.54,20.0
419,25 to 34 years,Men,8.47,23.0
420,25 to 34 years,Men,7.91,44.0
421,25 to 34 years,Men,8.0,41.0
422,25 to 34 years,Men,8.01,40.0
423,25 to 34 years,Men,7.94,42.0
424,25 to 34 years,Men,8.02,38.0
425,25 to 34 years,Men,8.13,35.0
426,25 to 34 years,Men,8.13,35.0
427,25 to 34 years,Men,7.91,44.0
428,25 to 34 years,Men,7.94,42.0
429,25 to 34 years,Men,8.25,33.0
430,25 to 34 years,Men,8.12,37.0
431,25 to 34 years,Men,8.31,30.0
432,25 to 34 years,Men,8.55,18.0
433,25 to 34 years,Men,8.17,34.0
434,25 to 34 years,Men,8.02,38.0
435,25 to 34 years,Men,9.23,13.0
436,25 to 34 years,Men,9.38,6.0
437,25 to 34 years,Men,9.46,2.0
438,25 to 34 years,Men,9.5,1.0
439,25 to 34 years,Men,9.43,5.0
440,25 to 34 years,Men,9.32,10.0
441,25 to 34 years,Men,9.34,7.0
442,25 to 34 years,Men,9.17,15.0
443,25 to 34 years,Men,9.34,7.0
444,25 to 34 years,Men,9.28,12.0
445,25 to 34 years,Men,9.22,14.0
446,25 to 34 years,Men,9.32,10.0
447,25 to 34 years,Men,9.33,9.0
448,25 to 34 years,Men,9.45,3.0
449,25 to 34 years,Men,9.45,3.0
450,35 to 44 years,Men,8.2,29.0
451,35 to 44 years,Men,8.2,29.0
452,35 to 44 years,Men,8.36,19.0
453,35 to 44 years,Men,8.28,26.0
454,35 to 44 years,Men,8.28,26.0
455,35 to 44 years,Men,8.31,24.0
456,35 to 44 years,Men,8.28,26.0
457,35 to 44 years,Men,8.29,25.0
458,35 to 44 years,Men,8.35,21.0
459,35 to 44 years,Men,8.33,22.0
460,35 to 44 years,Men,8.37,18.0
461,35 to 44 years,Men,8.19,31.0
462,35 to 44 years,Men,8.67,16.0
463,35 to 44 years,Men,8.41,17.0
464,35 to 44 years,Men,8.36,19.0
465,35 to 44 years,Men,7.86,44.0
466,35 to 44 years,Men,7.88,43.0
467,35 to 44 years,Men,8.03,33.0
468,35 to 44 years,Men,7.95,41.0
469,35 to 44 years,Men,7.98,38.0
470,35 to 44 years,Men,7.99,37.0
471,35 to 44 years,Men,7.93,42.0
472,35 to 44 years,Men,7.96,40.0
473,35 to 44 years,Men,8.0,36.0
474,35 to 44 years,Men,8.01,34.0
475,35 to 44 years,Men,8.01,34.0
476,35 to 44 years,Men,7.78,45.0
